,chapter,dim0,dim1,book_number,book_ch,sentiment_score,book_name
0,1,-0.085226941809272,-0.0081569589523547,1,1-1,0.2039764359351988,David Copperfield
1,2,-0.1774344756798567,-0.2235735259727983,1,1-2,0.2119060622610595,David Copperfield
2,3,-0.1526238086706479,-0.3284654078855486,1,1-3,0.2356979405034324,David Copperfield
3,4,-0.1721753172084777,-0.1503983829288772,1,1-4,0.1860371267150928,David Copperfield
4,5,-0.125563436431352,-0.2059108963680334,1,1-5,0.2114746325272641,David Copperfield
5,6,-0.048982679184694,-0.1976352639022681,1,1-6,0.2399403874813711,David Copperfield
6,7,-0.040565377160463,-0.2282567202471522,1,1-7,0.2272727272727272,David Copperfield
7,8,-0.1785250043733945,-0.2183884485584431,1,1-8,0.2114485981308411,David Copperfield
8,9,-0.1353445091741045,-0.1678286910053053,1,1-9,0.2219589257503949,David Copperfield
9,10,-0.1525964268680424,-0.3337735714789295,1,1-10,0.2115299334811529,David Copperfield
10,11,0.4227646988693491,-0.1021473850507188,1,1-11,0.2331217541834968,David Copperfield
11,12,0.3972146012277585,-0.1053432139630957,1,1-12,0.2,David Copperfield
12,13,-0.0936267928697286,-0.0365606892869187,1,1-13,0.2123643227937706,David Copperfield
13,14,-0.0745352458315838,-0.0662360134529275,1,1-14,0.2602304330552245,David Copperfield
14,15,-0.0670638347700766,-0.0657532636646607,1,1-15,0.2301980198019802,David Copperfield
15,16,0.0197887948033903,0.0288095672389723,1,1-16,0.2778264680105171,David Copperfield
16,17,0.4666779798521666,-0.0811293385979881,1,1-17,0.2370283018867924,David Copperfield
17,18,-0.0932132140780956,0.0175170926369141,1,1-18,0.2058096415327565,David Copperfield
18,19,-0.0685470270128217,-0.0190148322146489,1,1-19,0.2582654528030666,David Copperfield
19,20,-0.142136217258516,-0.119901670004532,1,1-20,0.2336996336996337,David Copperfield
20,21,-0.1408513922545071,-0.3090217234985517,1,1-21,0.242152466367713,David Copperfield
21,22,-0.1852420039675187,-0.1983829823794222,1,1-22,0.2308718861209964,David Copperfield
22,23,-0.0695267280476381,0.0267667398677141,1,1-23,0.2522468544038346,David Copperfield
23,24,-0.0938625386988248,-0.0351758215134217,1,1-24,0.2063178677196446,David Copperfield
24,25,-0.0237179774533876,0.0418069592830787,1,1-25,0.2361853832442067,David Copperfield
25,26,-0.134967805120944,0.2093296098998129,1,1-26,0.2143263217737351,David Copperfield
26,27,0.3278020940731888,-0.0454680988717444,1,1-27,0.2111237230419977,David Copperfield
27,28,0.6420283647614556,-0.0300596686953708,1,1-28,0.2233676975945017,David Copperfield
28,29,-0.1510162289513818,-0.0557361194163269,1,1-29,0.2107674684994272,David Copperfield
29,30,-0.1078979709849472,-0.2883961470872884,1,1-30,0.2236286919831223,David Copperfield
30,31,-0.1574853591841881,-0.3314833578552696,1,1-31,0.2308243727598566,David Copperfield
31,32,-0.1869739937174127,-0.2291882820590256,1,1-32,0.2213143872113676,David Copperfield
32,33,-0.1409452552737255,0.2996096766524418,1,1-33,0.2333182024512029,David Copperfield
33,34,0.0828030739526498,0.1248602176939971,1,1-34,0.2574525745257452,David Copperfield
34,35,-0.040237100370676,0.195640833101421,1,1-35,0.2512664640324215,David Copperfield
35,36,0.5952532771965613,0.0636856496218279,1,1-36,0.2892617449664429,David Copperfield
36,37,-0.1823253500702976,0.5186466764276104,1,1-37,0.2216427640156453,David Copperfield
37,38,-0.0624214307070703,0.2372683844232253,1,1-38,0.1985145172180958,David Copperfield
38,39,0.0917429714830125,0.1340175840284102,1,1-39,0.24,David Copperfield
39,40,-0.1762133272095647,-0.1846605265552485,1,1-40,0.2197231833910034,David Copperfield
40,41,-0.0208158087393365,0.3674585472016985,1,1-41,0.2496339677891654,David Copperfield
41,42,0.0060052767645901,0.2111058409631468,1,1-42,0.268305718866916,David Copperfield
42,43,-0.124645039526184,0.4401237469601725,1,1-43,0.2575757575757575,David Copperfield
43,44,-0.1742695479269447,0.4649943116423494,1,1-44,0.2408131352619233,David Copperfield
